accession	genbank_accession_rev	strain	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	authors	institution	F_coverage	G_coverage	genome_coverage
KX855260	KX855260.1	43-014Gua	2014-XX-XX	North America	Guatemala			Homo sapiens	2017-11-04		Lupo et al		Lupo,P., Jara,J., Alvis,J.P., Pennington,P., Castillo,L., Moreno,B., Albrego,L.		0.000	0.349	0.021
LC552793	LC552793.1	LC552793	2018-08-10	Asia	Myanmar			Homo sapiens	2020-06-03		Phyu et al		Phyu,W.W., Saito,R.		0.000	0.325	0.020
ON057065	ON057065.1	RSVA_CHLA_18-19_028	2019-XX-XX	North America	USA			Homo sapiens	2022-07-05		Adhikari et al		Adhikari,B., Hassan,F., Harrison,C., Dien Bard,J., Dunn,J., Kehl,S., Selvarangan,R.		0.988	0.000	0.114
ON057070	ON057070.1	RSVA_CHLA_18-19_037	2019-XX-XX	North America	USA			Homo sapiens	2022-07-05		Adhikari et al		Adhikari,B., Hassan,F., Harrison,C., Dien Bard,J., Dunn,J., Kehl,S., Selvarangan,R.		0.987	0.000	0.114
MG642045	MG642045.1	MG642045	1979-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642037	MG642037.1	MG642037	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642047	MG642047.1	MG642047	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642053	MG642053.1	MG642053	1980-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		0.884	1.000	0.981
MG642065	MG642065.1	MG642065	1981-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642025	MG642025.1	MG642025	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642043	MG642043.1	MG642043	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642044	MG642044.1	MG642044	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642078	MG642078.1	MG642078	1982-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642059	MG642059.1	MG642059	1983-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	1.000
MG642046	MG642046.1	MG642046	1984-XX-XX	North America	USA	Rochester	Ny	Homo sapiens	2017-12-13		Shabman et al		Shabman,R., Fedorova,N., Puri,V., Shrivastava,S., Amedeo,P., Isom,R., Hu,L., Pickett,B., Novotny,M., Durbin,A., Rocchi,I., Williams,T., Hall,C.B., Tesini,B.L., Schnabel,K.C., Walsh,E.E., Caserta,M.		1.000	1.000	0.996
